,Unnamed: 0,CM_candidates,L1,L2
0,0,103 కంటే ఎక్కువ temperature ఉంది,103 కంటే ఎక్కువ ఉష్ణోగ్రత ఉంది,Have a temperature above 103
1,1,3 రోజులుగా suddenగా ఇల మొదలైంది,3 రోజులుగా హఠాత్తుగా ఇలా మొదలైంది,This started suddenly for 3 days
2,2,constipation అయితుంది,మలబద్ధకం అయితుంది,Constipation
3,3,bathroom కి వెళ్ళినప్పుడు blood వస్తుంది,బాత్రూమ్ కి వెళ్ళినప్పుడు రక్తం వస్తుంది,Blood comes out when going to the bathroom
4,4,motions లో blood పడుతుంది,మలం లో రక్తం పడుతుంది,Blood in the stool
5,5,motion గట్టిగా వస్తుంది,విరోచనం గట్టిగా వస్తుంది,Anger is strong
6,6,loose motions అవుతున్నాయి, విరోచనాలు అవుతున్నాయి,There are contradictions
7,7,watery motions లాగా ఉన్నాయి, విరోచనాలు లాగా ఉన్నాయి,It's like annihilation
8,8,తలనొప్పి ఉన్నప్పుడు కళ్ళముందు light కొడుతున్నట్లు గా ఉంది,తలనొప్పి ఉన్నప్పుడు కళ్ళముందు కాంతి కొడుతున్నట్లుగా ఉంది,When there is a headache there is a flash of light before the eyes
9,9,బాగా irritating గా ఉంది,బాగా చిరాకు గా ఉంది,Very annoying
10,10,vitamin d deficiency ఉంది అని చెప్పారు,విటమిన్ డి లోపం ఉందని చెప్పారు,Vitamin D deficiency is said
11,11,ఎంత age?,ఎంత వయస్సు?,how old
12,12,ఇది kidney కి సంబంధించిన్న నొప్పా?,ఇది కిడ్నీ కి సంబంధించిన నొప్పా?,Is it kidney related pain?
13,13,గత 4 రోజులుగా high fever and తలనొప్పితో బాధపడుతుంది,గత 4 రోజులుగా తీవ్ర జ్వరం మరియు తలనొప్పితో బాధపడుతుంది,Suffering from high fever and headache for last 4 days
14,14,daily dolo 500 వేస్తున్నాం,రోజువారీ డోలో 500 వేస్తున్నాం,500 in daily dolo
15,15,బరువు తగ్గడానికి diet చేస్తున్నాను,బరువు తగ్గడానికి డైట్ చేస్తున్నాను,I am on a diet to lose weight
16,16,motionకి వెళ్ళినప్పుడు బాగా pain ఉంది అని చెప్తుంది,విరోచనంకి వెళ్ళినప్పుడు బాగా నొప్పిగా ఉంది అని చెప్తుంది,She says that it hurts a lot when she goes to have an anus
17,17,అయినా motion free గా అవ్వడం లేదు,అయినా విరోచనం సాఫీ గా అవ్వడం లేదు,"However, the transition is not smooth"
18,18,గతం 3 నెలల నుంచి dehydration తో బాధపడుతున్నాను,గతం 3 నెలల నుంచి డీహైడ్రేషన్‌తో బాధపడుతున్నాను,I am suffering from dehydration since last 3 months
19,19,నాకు periods regularగా రావడం లేదు,నాకు పీరియడ్స్ రెగ్యులర్ గా రావడం లేదు,I am not getting periods regularly
