L1,L2,CM_candidates,Rating-1,Rating-2
కాకపోతే రెంటికీ ప్రాథమిక తేడా ఉంది .,"There is a basic difference between the two , however .",కాకపోతే రెంటికీ basic తేడా ఉంది .,4,3
ఈ విషాద సంఘటన తమిళనాడులోని తిరపత్తూరులో చోటుచేసుకుంది .,The incident took place in Tamil Nadu's Tiruchirappalli .,The సంఘటన took place in Tamil Nadu 's Tiruchirappalli,4,5
ఆ విద్యార్థులు ఏ విధంగా గాడి తప్పుతున్నారు .,How is it the students' fault ?,ఆ fault విధంగా గాడి తప్పుతున్నారు,4,1
ఇప్పట ికైతే ఇది కాగితాలకే పరిమితమైంది .,So far that is only on paper .,So ఇది only on paper .,5,4
మన తెలుగులో బిగ్గెస్ట్ రియాలిటీ షో అయినటువంటి బిగ్ బాస్ సీజన్ 4 ఫైనల్ స్టేజ్ కు వస్తుంది .,Bigg Boss Season 4 Tamil is the latest season of the Indian reality TV series Bigg Boss .,Bigg Boss Season 4 Tamil is the latest కు of,1,1
అయితే ఈ చట్టం ఆచరణలో విఫలమైంది .,But the Act wasnt implemented .,But ఈ Act wasnt implemented,4,5
పశ్చిమ గోదావరి జిల్లా ఏలూరులో ఈ ఘటన చోటుచేసుకుంది .,The incident occurred at Eluru in West Godavari district .,West Godavari జిల్లా ఏలూరులో ఈ incident చోటుచేసుకుంది .,5,5
ప్రథమ చికిత్స అనంతరం కొందరిని వైద్యులు డిశ్చార్జి చేశారు .,Some of them were discharged after providing first aid by the doctors .,Some of them were డిశ్చార్జి after providing first aid,4,1
అల ఎత్తు కంటే ఎక్కువ 2 mm కట్టుబాటు నుండి విభేదిస్తూ ఉండకూడదు .,Should not rise more than 2 mm above rim of mold .,rise more than 2 mm above rim నుండి విభేదిస్తూ ఉండకూడదు .,1,1
‘విరాట్‌ కోహ్లీ ప్రపంచంలోనే అత్యుత్తమ ఆటగాడు మాత్రమే కాదు అత్యంత చెత్త ప్రవర్తన కలిగిన ఆటగాడు .,"""Virat K is not only the worlds best batsman but also the worlds worst behaved player . ",‘విరాట్‌ కోహ్లీ ప్రపంచంలోనే అత్యుత్తమ ఆటగాడు మాత్రమే కాదు అత్యంత చెత్త ప్రవర్తన worlds worst,3,1
