,L1,L2,CM_candidates
1192,Pr Moa యొక్క అమ్మాయిలతో అభిమానులు, Pr Moa's fanwars with girls,@ave_RAGEstudent @urs_koushik_ @frustration2_O Pr మోవా అమ్మాయిలతో fanwars చేసిన మంచ్డు
2818,సినిమా కి లొకేషన్స్ ప్రధాన ప్లస్ పాయింట్స్,Locations are main plus points of this movie,Locations are main plus points ఇ movie ki
4716,ఆహా . ఈ సమీక్ష కోసం వేచి ఉంది. 👍,Ahaa . waiting for this review . 👍,Ahaa . waiting for this review . 👍
2703,మీరు ఒరిజినల్ వెర్షన్ చూసారా,Have you seen  original version,@Are u a MUSIC LISTENER original version చూస్నవా
4604,వినగానే `` నాకు నచ్చింది `` ఫీలింగ్‌ బాగుంది,Hearing `` I liked it `` feeling good,Hearing `` I liked it `` feeling good
3971,నీ వీక్షణ. - నాకు ఇది నిజంగా నచ్చింది. - సినిమా చూడటం మొదలుపెట్టాడు,Thyview . -I really liked it Me . - started watching film,Thyview . -I really liked it Me . - started watching film
154,ప్రతి సినిమా నాకు బాగా నచ్చింది. 🥺 🥺,Prathi movie I kinda liked it . 🥺 🥺,Prathi movie I kinda liked it . 🥺 🥺
2817,వేగవంతమైన మరియు ఖచ్చితమైన సమీక్ష బ్రో ,Fast and perfect review bro ,Fast and perfect review bro #thyview . 💜
1673,ఈ సమీక్షకు ఎందుకు ఆలస్యం బ్రదర్?,Why so late for this review bro ?,Why so late for this review bro ?
915,నంది సినిమా ట్రైలర్ మేడ ఒక్క వీడియో బ్రో,Nandi movie trailer Meda one video bro,నంది movie trailer మేడ one video bro
3580,అమెజాన్ ప్రైమ్ వీడియో కోసం హ్యాట్రిక్ 😂 😂,Hat Trick for Amazon prime video 😂 😂,Hatrick for Amazon prime video 😂 😂
3893,మాల్యా @baillaiya 😭 😆 👍 😝పై వ్యాఖ్యానించండి లేదా లైక్ చేయండి,do comment or like on malya @baillaiya 😭 😆 👍 😝,do comment or like on malya @baillaiya 😭 😆 👍 😝
4281,@arun_4_all Twitter ఏం జరిగినా మాంచి పని 😌 😌,"@arun_4_all Twitter Whatever happened, It's good 😌 😌",@arun_4_all Twitter వాలా జరిగినా మాంచి పాణి 😌 😌
1014,నా ఒపీనియన్ సిరీస్‌ని రూపొందించమని థైవ్యూని అడుగుతున్న రోజు- 21,Day- 21 Of asking Thyview To Make My Opinion Series,Day- 21 Of asking Thyview To Make My Opinion Series
3050,జాతి రత్నాలు భయ్యా 💥 💥లో విజయ్ దేవరకొండ,Vijay Devarakonda in Jati Ratnalu Bhaiya 💥 💥,vijay దేవరకొండ in జాతి రత్నాలు భయ్యా 💥 💥
3541,ఫాల్కన్ మరియు శీతాకాలపు సైనికుడు 🔥 🔥 సమీక్ష,Falcon and the winter soldier 🔥 🔥 review,Falcon and the winter soldier 🔥 🔥 review
1484,బ్రో నాకు ఈ సినిమా నచ్చింది. .,Bro I liked this movie . .,Bro I liked this movie . .
1708,VJD ఐశ్వర్య రాజేష్ కథ మాత్రమే బాగుంది 👌,ONLY VJD AISWARYA RAJESH STORY WAS GOOD 👌,ONLY VJD AISWARYA RAJESH STORY WAS GOOD 👌
2529,మీరు మరోసారి చూడాలని అనుకుంటున్నాను,I think u need to see once again,I think u need to see once again
4077,చాలా వాస్తవమైన సమీక్ష. అలాగే భావించాడు,Very genuine review . felt the same way,Very genuine review . felt the same way
4165,కొన్ని రోజుల తర్వాత మీరు దీన్ని నిజంగా ఇష్టపడ్డారని చెప్పారు,After somedays U told u really liked it,After somedays U told u really liked it
3728,@Lokesh08_ @JioCare ఎయిర్‌టెల్ మంచ్‌డు రాత్రి సమయం బగా,@Lokesh08_ @JioCare Airtel Manchdu night time buga,@Lokesh08_ @JioCare Airtel మంచ్డు night time బగైస్తాడు
2446,సినిమా అద్భుతంగా ఉంది బ్రదర్ మీరు సరైన రివ్యూ ఇవ్వలేదని అనుకుంటున్నాను బ్రో,Film is superb bro I think u did not give fair review bro,Film is superb bro I think u did not give fair review bro
577,ధన్యవాదాలు సోదరా. సమీక్ష కోసం. నీ దృష్టిని ప్రేమించు. ♥ ️,Thank you bro . for the review . love thyview . ♥ ️,Thank you bro . for the review . love thyview . ♥ ️
468,@sweetha_reddy @BhanuP20425953 అబాహ్ బంపర్ ఆఫర్ ఇచ్చావ్ గా 😋,@sweetha_reddy @BhanuP20425953 Oh you gave a bumper offfer 😋,@sweetha_reddy @BhanuP20425953 అబాహ్ bumper offer ఇచ్చవ్ ga 😋
